,City_Month,City,Month,Feel,Real,Humidity,Rain,Cloud,Air_quality,Season,Remote_workers
0,Ericeira Jan,Ericeira,Jan,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,600
1,Ericeira Feb,Ericeira,Feb,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,200
2,Ericeira Mar,Ericeira,Mar,Cool,Cool,Damp,Dry,Pockets,Clean,Nov-Apr,300
3,Ericeira Apr,Ericeira,Apr,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,533
4,Ericeira May,Ericeira,May,Cool,Cool,Nice,Dry,Cloudy,Clean,May-Oct,733
5,Ericeira Jun,Ericeira,Jun,Cool,Cool,Nice,Dry,Pockets,Clean,May-Oct,360
6,Ericeira Jul,Ericeira,Jul,Mild,Mild,Nice,Dry,Pockets,Clean,May-Oct,250
7,Ericeira Aug,Ericeira,Aug,Mild,Mild,Nice,Dry,Pockets,Clean,May-Oct,700
8,Ericeira Sep,Ericeira,Sep,Mild,Mild,Nice,Dry,Pockets,Clean,May-Oct,733
9,Ericeira Oct,Ericeira,Oct,Mild,Mild,Nice,Rainy,Cloudy,Clean,May-Oct,800
10,Ericeira Nov,Ericeira,Nov,Cool,Cool,Damp,Dry,Pockets,Clean,Nov-Apr,650
11,Ericeira Dec,Ericeira,Dec,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,500
12,Lisbon Jan,Lisbon,Jan,Cool,Cool,Damp,Dry,Cloudy,Clean,Nov-Apr,2414
13,Lisbon Feb,Lisbon,Feb,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,2571
14,Lisbon Mar,Lisbon,Mar,Cool,Cool,Nice,Dry,Pockets,Clean,Nov-Apr,3273
15,Lisbon Apr,Lisbon,Apr,Mild,Mild,Nice,Rainy,Cloudy,Clean,Nov-Apr,2857
16,Lisbon May,Lisbon,May,Mild,Mild,Nice,Dry,Pockets,Clean,May-Oct,2771
17,Lisbon Jun,Lisbon,Jun,Mild,Mild,Nice,Dry,Pockets,Clean,May-Oct,2929
18,Lisbon Jul,Lisbon,Jul,Warm,Warm,Nice,Dry,Pockets,Clean,May-Oct,2333
19,Lisbon Aug,Lisbon,Aug,Warm,Warm,Nice,Dry,Pockets,Clean,May-Oct,2300
20,Lisbon Sep,Lisbon,Sep,Warm,Warm,Nice,Dry,Pockets,Clean,May-Oct,4218
21,Lisbon Oct,Lisbon,Oct,Mild,Mild,Nice,Dry,Cloudy,Clean,May-Oct,4783
22,Lisbon Nov,Lisbon,Nov,Cool,Cool,Nice,Dry,Pockets,Clean,Nov-Apr,4538
23,Lisbon Dec,Lisbon,Dec,Cool,Cool,Damp,Rainy,Cloudy,Clean,Nov-Apr,3036
24,Miami Jan,Miami,Jan,Mild,Mild,Nice,Dry,Pockets,Clean,Nov-Apr,1160
25,Miami Feb,Miami,Feb,Warm,Warm,Nice,Rainy,Pockets,Clean,Nov-Apr,1108
26,Miami Mar,Miami,Mar,Warm,Warm,Nice,Dry,Pockets,Clean,Nov-Apr,1363
27,Miami Apr,Miami,Apr,Warm,Warm,Sweaty,Rainy,Pockets,Clean,Nov-Apr,1364
28,Miami May,Miami,May,Warm,Warm,Sweaty,Rainy,Pockets,Clean,May-Oct,1169
29,Miami Jun,Miami,Jun,Hot,Very Warm,Sweaty,Rainy,Cloudy,Clean,May-Oct,900
30,Miami Jul,Miami,Jul,Hot,Very Warm,Sweaty,Rainy,Pockets,Clean,May-Oct,900
31,Miami Aug,Miami,Aug,Hot,Very Warm,Sweaty,Rainy,Pockets,Okay,May-Oct,776
32,Miami Sep,Miami,Sep,Hot,Very Warm,Sweaty,Rainy,Cloudy,Clean,May-Oct,891
33,Miami Oct,Miami,Oct,Hot,Very Warm,Sweaty,Rainy,Pockets,Clean,May-Oct,785
34,Miami Nov,Miami,Nov,Warm,Warm,Nice,Rainy,Cloudy,Clean,Nov-Apr,1200
35,Miami Dec,Miami,Dec,Warm,Warm,Nice,Dry,Pockets,Clean,Nov-Apr,1563
36,Gran-Canaria Jan,Gran-Canaria,Jan,Mild,Mild,Nice,Dry,Pockets,Seek Shade,Nov-Apr,1680
37,Gran-Canaria Feb,Gran-Canaria,Feb,Mild,Mild,Nice,Dry,Pockets,Avoid Sun,Nov-Apr,1233
38,Gran-Canaria Mar,Gran-Canaria,Mar,Mild,Mild,Nice,Dry,Pockets,Avoid Sun,Nov-Apr,1100
39,Gran-Canaria Apr,Gran-Canaria,Apr,Mild,Mild,Nice,Dry,Pockets,Avoid Sun,Nov-Apr,1100
40,Gran-Canaria May,Gran-Canaria,May,Mild,Mild,Nice,Dry,Pockets,Avoid Sun,May-Oct,686
