,Unnamed: 0,💵 Cost,Cost2
0,0,Affordable,"$2,264"
1,1,Affordable,"$2,368"
2,2,Too expensive,"$4,922"
3,3,Affordable,"$1,698"
4,4,Affordable,"$1,070"
5,5,Pricey,"$3,857"
6,6,Affordable,"$2,250"
7,7,Cheap,$892
8,8,Affordable,"$1,323"
9,9,Cheap,$958
10,10,Affordable,"$1,313"
11,11,Affordable,"$1,734"
12,12,Affordable,"$1,287"
13,13,Affordable,"$1,490"
14,14,Affordable,"$1,125"
15,15,Affordable,"$1,238"
16,16,Affordable,"$2,084"
17,17,Affordable,"$1,033"
18,18,Affordable,"$1,019"
19,19,Affordable,"$1,522"
20,20,Okay,"$2,623"
21,21,Affordable,"$1,768"
22,22,Affordable,"$2,206"
23,23,Pricey,"$3,415"
24,24,Pricey,"$3,528"
25,25,Affordable,"$1,274"
26,26,Pricey,"$3,944"
27,27,Pricey,"$3,561"
28,28,Okay,"$2,768"
29,29,Pricey,"$3,133"
30,30,Affordable,"$1,275"
31,31,Affordable,"$1,419"
32,32,Affordable,"$1,436"
33,33,Affordable,"$1,751"
34,34,Cheap,$712
35,35,Affordable,"$1,040"
36,36,Pricey,"$3,014"
37,37,Affordable,"$1,844"
38,38,Affordable,"$1,690"
39,39,Affordable,"$1,999"
40,40,Affordable,"$1,563"
41,41,Affordable,"$1,542"
42,42,Cheap,$948
43,43,Pricey,"$3,237"
44,44,Too expensive,"$4,647"
45,45,Okay,"$2,834"
46,46,Affordable,"$1,704"
47,47,Affordable,"$2,004"
48,48,Pricey,"$3,840"
49,49,Affordable,"$2,068"
50,50,Affordable,"$1,172"
51,51,Too expensive,"$4,557"
52,52,Pricey,"$3,222"
53,53,Affordable,"$1,077"
54,54,Affordable,"$1,975"
55,55,Affordable,"$1,511"
56,56,Too expensive,"$4,846"
57,57,Pricey,"$3,444"
58,58,Affordable,"$1,384"
59,59,Too expensive,"$4,722"
60,60,Affordable,"$1,288"
61,61,Pricey,"$3,998"
62,62,Way too expensive,"$5,755"
63,63,Okay,"$2,877"
64,64,Pricey,"$4,000"
65,65,Affordable,"$1,645"
66,66,Affordable,"$2,160"
67,67,Way too expensive,"$5,208"
68,68,Affordable,"$2,126"
69,69,Cheap,$958
70,70,Pricey,"$3,812"
71,71,Okay,"$2,855"
72,72,Affordable,"$1,281"
73,73,Way too expensive,"$5,855"
74,74,Way too expensive,"$6,029"
75,75,Affordable,"$1,822"
76,76,Way too expensive,"$6,951"
77,77,Okay,"$2,866"
78,78,Way too expensive,"$5,573"
79,79,Pricey,"$3,456"
80,80,Affordable,"$2,142"
81,81,Affordable,"$2,010"
82,82,Pricey,"$3,454"
83,83,Affordable,"$2,423"
84,84,Too expensive,"$4,191"
85,85,Affordable,"$1,368"
86,86,Affordable,"$1,947"
87,87,Affordable,"$1,386"
88,88,Affordable,"$2,118"
89,89,Affordable,"$1,500"
90,90,Affordable,"$2,453"
91,91,Okay,"$2,696"
92,92,Affordable,"$2,302"
93,93,Too expensive,"$4,190"
94,94,Affordable,"$1,610"
95,95,Affordable,"$1,163"
96,96,Pricey,"$3,250"
97,97,Affordable,"$1,076"
98,98,Affordable,"$1,529"
99,99,Affordable,"$2,288"
100,100,Affordable,"$1,574"
101,101,Affordable,"$1,417"
102,102,Affordable,"$2,370"
103,103,Affordable,"$1,694"
104,104,Affordable,"$1,101"
105,105,Okay,"$2,914"
106,106,Affordable,"$2,100"
107,107,Affordable,"$1,496"
108,108,Affordable,"$1,518"
109,109,Affordable,"$1,775"
110,110,Affordable,"$2,021"
111,111,Affordable,"$1,239"
112,112,Affordable,"$1,531"
113,113,Affordable,"$2,218"
114,114,Affordable,"$2,407"
115,115,Affordable,"$1,301"
116,116,Okay,"$2,555"
117,117,Affordable,"$2,079"
118,118,Affordable,"$1,351"
119,119,Affordable,"$1,921"
120,120,Cheap,$980
121,121,Pricey,"$3,620"
122,122,Cheap,$992
123,123,Affordable,"$1,150"
124,124,Affordable,"$1,787"
125,125,Affordable,"$2,253"
126,126,Affordable,"$1,707"
127,127,Too expensive,"$4,661"
128,128,Affordable,"$1,433"
129,129,Pricey,"$3,810"
