,City,Total score,Quality of life score,Family score,Cost,Internet,Fun,Safety,Lack of crime,Lack of racism,Education level,Income level,English speaking,Walkability,Traffic safety,Happiness,Nightlife,Free WiFi in city,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,Hospitals,Country,Continent,Ciudad_Country,Latitude,Longitude
0,Ericeira,4.57,Good,Good,Affordable,Super fast,Great,Great,Great,Great,Mediocre,Low,Great,Great,Okay,Okay,Great,Great,Good,Great,Good,Great,Great,Okay,Unknown,Portugal,Europe,"Ericeira, Portugal",38.97039795,-9.399580512067734
1,Lisbon,4.69,Good,Good,Affordable,Fast,Great,Great,Great,Okay,Mediocre,Low,Great,Great,Okay,Okay,Okay,Okay,Okay,Good,Good,Good,Great,Okay,Bad,Portugal,Europe,"Lisbon, Portugal",38.7077507,-9.1365919
2,Miami,4.64,Good,Good,Too expensive,Fast,Great,Good,Good,Good,High,Very high,Good,Great,Okay,Good,Great,Great,Great,Great,Good,Good,Great,Okay,Great,United States,North America,"Miami, United States",25.7741728,-80.19362
3,Gran Canaria,4.84,Good,Good,Affordable,Fast,Good,Great,Great,Okay,High,Mediocre,Bad,Great,Okay,Good,Good,Okay,Bad,Good,Good,Good,Great,Okay,Unknown,Spain,Europe,"Gran Canaria, Spain",27.9580004,-15.6062305376665
4,Budapest,4.6,Good,Good,Affordable,Fast,Good,Good,Good,Bad,High,Very low,Good,Great,Okay,Okay,Great,Good,Good,Okay,Good,Good,Bad,Okay,Good,Hungary,Europe,"Budapest, Hungary",47.4979937,19.0403594
5,Austin,4.58,Good,Good,Pricey,Super fast,Great,Good,Good,Good,High,Very high,Great,Great,Okay,Good,Good,Good,Unknown,Good,Good,Okay,Great,Good,Great,United States,North America,"Austin, United States",30.2711286,-97.7436995
6,Porto,4.59,Good,Good,Affordable,Fast,Good,Great,Great,Okay,Mediocre,Low,Good,Great,Okay,Okay,Okay,Good,Great,Good,Good,Good,Great,Okay,Great,Portugal,Europe,"Porto, Portugal",41.1494512,-8.6107884
7,Buenos Aires,4.51,Good,Good,Cheap,Good,Good,Okay,Okay,Good,High,Very low,Okay,Great,Okay,Good,Great,Okay,Okay,Good,Good,Okay,Great,Okay,Great,Argentina,Latin America,"Buenos Aires, Argentina",-34.6075682,-58.4370894
8,Tbilisi,4.4,Good,Okay,Affordable,Fast,Good,Good,Good,Bad,High,Very low,Bad,Okay,Okay,Bad,Okay,Okay,Bad,Great,Good,Okay,Bad,Okay,Good,Georgia,Europe,"Tbilisi, Georgia",41.6934591,44.8014495
9,Chiang Mai,4.43,Good,Okay,Cheap,Fast,Good,Great,Good,Bad,Mediocre,Very low,Bad,Great,Bad,Good,Okay,Good,Okay,Good,Okay,Good,Okay,Okay,Great,Thailand,Asia,"Chiang Mai, Thailand",18.7882778,98.9858802
